|context|query
0|"0 4 3 3
0 2
----
"|"0 4 3 3

Just provide the two values."
1|"3 0 1 4
2 3
----
"|"3 0 1 4

Just provide the two values."
2|"1 0 2 3
1 2
----
"|"1 0 2 3

Just provide the two values."
3|"0 4 2 2
0 2
----
"|"0 4 2 2

Just provide the two values."
4|"4 0 2 2
2 2
----
"|"4 0 2 2

Just provide the two values."
5|"0 3 4 1
0 3
----
"|"0 3 4 1

Just provide the two values."
6|"0 0 3 4
1 3
----
"|"0 0 3 4

Just provide the two values."
7|"3 0 0 1
1 3
----
"|"3 0 0 1

Just provide the two values."
8|"3 4 4 1
0 2
----
"|"3 4 4 1

Just provide the two values."
9|"0 3 1 2
1 2
----
"|"0 3 1 2

Just provide the two values."
10|"4 2 0 0
2 3
----
"|"4 2 0 0

Just provide the two values."
11|"1 3 4 2
0 2
----
"|"1 3 4 2

Just provide the two values."
12|"0 4 2 4
0 2
----
"|"0 4 2 4

Just provide the two values."
13|"2 0 1 3
2 2
----
"|"2 0 1 3

Just provide the two values."
14|"1 1 3 0
1 2
----
"|"1 1 3 0

Just provide the two values."
15|"3 4 0 0
1 3
----
"|"3 4 0 0

Just provide the two values."
16|"2 4 1 3
1 2
----
"|"2 4 1 3

Just provide the two values."
17|"1 1 0 3
0 2
----
"|"1 1 0 3

Just provide the two values."
18|"1 0 0 1
1 3
----
"|"1 0 0 1

Just provide the two values."
19|"2 3 3 2
0 0
----
"|"2 3 3 2

Just provide the two values."
20|"0 1 2 2
0 2
----
"|"0 1 2 2

Just provide the two values."
21|"0 2 0 2
0 2
----
"|"0 2 0 2

Just provide the two values."
22|"3 2 0 0
1 2
----
"|"3 2 0 0

Just provide the two values."
23|"2 2 0 4
0 2
----
"|"2 2 0 4

Just provide the two values."
24|"0 0 1 0
3 3
----
"|"0 0 1 0

Just provide the two values."
25|"1 1 2 0
1 2
----
"|"1 1 2 0

Just provide the two values."
26|"2 0 4 2
1 2
----
"|"2 0 4 2

Just provide the two values."
27|"0 0 3 0
2 2
----
"|"0 0 3 0

Just provide the two values."
28|"3 0 3 2
1 1
----
"|"3 0 3 2

Just provide the two values."
29|"3 0 0 2
1 2
----
"|"3 0 0 2

Just provide the two values."
30|"1 0 3 1
1 2
----
"|"1 0 3 1

Just provide the two values."
31|"1 1 4 0
1 3
----
"|"1 1 4 0

Just provide the two values."
32|"4 0 3 2
2 2
----
"|"4 0 3 2

Just provide the two values."
33|"0 3 4 2
0 2
----
"|"0 3 4 2

Just provide the two values."
34|"1 4 3 4
0 2
----
"|"1 4 3 4

Just provide the two values."
35|"3 3 1 2
1 1
----
"|"3 3 1 2

Just provide the two values."
36|"1 4 2 0
1 3
----
"|"1 4 2 0

Just provide the two values."
37|"3 2 0 2
0 1
----
"|"3 2 0 2

Just provide the two values."
38|"0 1 4 0
1 4
----
"|"0 1 4 0

Just provide the two values."
39|"2 3 2 3
0 0
----
"|"2 3 2 3

Just provide the two values."
40|"0 2 1 2
1 2
----
"|"0 2 1 2

Just provide the two values."
41|"3 0 0 2
1 2
----
"|"3 0 0 2

Just provide the two values."
42|"1 4 0 0
1 4
----
"|"1 4 0 0

Just provide the two values."
43|"0 3 4 1
0 3
----
"|"0 3 4 1

Just provide the two values."
44|"4 3 3 2
1 1
----
"|"4 3 3 2

Just provide the two values."
45|"4 0 2 3
2 2
----
"|"4 0 2 3

Just provide the two values."
46|"3 4 1 3
1 2
----
"|"3 4 1 3

Just provide the two values."
47|"4 0 1 0
4 4
----
"|"4 0 1 0

Just provide the two values."
48|"0 0 3 1
1 3
----
"|"0 0 3 1

Just provide the two values."
49|"1 3 0 0
1 3
----
"|"1 3 0 0

Just provide the two values."
50|"4 0 0 0
3 3
----
"|"4 0 0 0

Just provide the two values."
51|"1 1 2 0
1 2
----
"|"1 1 2 0

Just provide the two values."
52|"4 2 1 1
2 2
----
"|"4 2 1 1

Just provide the two values."
53|"0 0 4 2
1 3
----
"|"0 0 4 2

Just provide the two values."
54|"0 4 0 2
0 3
----
"|"0 4 0 2

Just provide the two values."
55|"0 1 3 4
0 3
----
"|"0 1 3 4

Just provide the two values."
56|"4 2 1 1
2 2
----
"|"4 2 1 1

Just provide the two values."
57|"2 4 4 0
1 2
----
"|"2 4 4 0

Just provide the two values."
58|"4 2 1 0
3 3
----
"|"4 2 1 0

Just provide the two values."
59|"3 2 1 2
1 1
----
"|"3 2 1 2

Just provide the two values."
60|"2 4 1 0
2 3
----
"|"2 4 1 0

Just provide the two values."
61|"3 1 1 3
1 1
----
"|"3 1 1 3

Just provide the two values."
62|"1 1 4 2
0 2
----
"|"1 1 4 2

Just provide the two values."
63|"3 0 0 4
1 3
----
"|"3 0 0 4

Just provide the two values."
64|"4 2 2 2
1 1
----
"|"4 2 2 2

Just provide the two values."
65|"2 4 1 4
1 2
----
"|"2 4 1 4

Just provide the two values."
66|"0 4 4 1
0 3
----
"|"0 4 4 1

Just provide the two values."
67|"0 2 0 2
0 2
----
"|"0 2 0 2

Just provide the two values."
68|"2 3 2 1
0 1
----
"|"2 3 2 1

Just provide the two values."
69|"0 2 0 1
0 3
----
"|"0 2 0 1

Just provide the two values."
70|"1 2 4 4
0 2
----
"|"1 2 4 4

Just provide the two values."
71|"2 4 0 0
1 3
----
"|"2 4 0 0

Just provide the two values."
72|"3 1 3 2
0 1
----
"|"3 1 3 2

Just provide the two values."
73|"3 3 2 2
0 0
----
"|"3 3 2 2

Just provide the two values."
74|"2 2 3 3
0 0
----
"|"2 2 3 3

Just provide the two values."
75|"0 0 3 4
1 3
----
"|"0 0 3 4

Just provide the two values."
76|"0 2 3 0
1 2
----
"|"0 2 3 0

Just provide the two values."
77|"4 0 4 4
2 2
----
"|"4 0 4 4

Just provide the two values."
78|"3 1 0 0
1 3
----
"|"3 1 0 0

Just provide the two values."
79|"2 0 1 3
2 2
----
"|"2 0 1 3

Just provide the two values."
80|"3 0 1 1
2 2
----
"|"3 0 1 1

Just provide the two values."
81|"0 0 1 1
2 3
----
"|"0 0 1 1

Just provide the two values."
82|"2 4 0 3
0 2
----
"|"2 4 0 3

Just provide the two values."
83|"1 1 2 3
0 1
----
"|"1 1 2 3

Just provide the two values."
84|"4 2 4 4
1 1
----
"|"4 2 4 4

Just provide the two values."
85|"0 0 2 1
1 3
----
"|"0 0 2 1

Just provide the two values."
86|"4 1 1 0
3 3
----
"|"4 1 1 0

Just provide the two values."
87|"3 2 1 0
2 2
----
"|"3 2 1 0

Just provide the two values."
88|"2 3 2 3
0 0
----
"|"2 3 2 3

Just provide the two values."
89|"3 0 1 2
2 2
----
"|"3 0 1 2

Just provide the two values."
90|"0 0 2 1
1 3
----
"|"0 0 2 1

Just provide the two values."
91|"1 2 1 2
1 1
----
"|"1 2 1 2

Just provide the two values."
92|"0 4 3 1
0 3
----
"|"0 4 3 1

Just provide the two values."
93|"0 3 4 1
0 3
----
"|"0 3 4 1

Just provide the two values."
94|"2 0 2 2
1 1
----
"|"2 0 2 2

Just provide the two values."
95|"0 3 4 4
0 2
----
"|"0 3 4 4

Just provide the two values."
96|"2 2 4 3
0 1
----
"|"2 2 4 3

Just provide the two values."
97|"1 4 2 2
0 2
----
"|"1 4 2 2

Just provide the two values."
98|"0 4 0 4
0 3
----
"|"0 4 0 4

Just provide the two values."
99|"3 3 4 2
0 1
----
"|"3 3 4 2

Just provide the two values."
