|context|query
0|"3 0 2 0
1 2
----
"|"3 0 2 0

Just provide the two values."
1|"1 4 2 0
2 3
----
"|"1 4 2 0

Just provide the two values."
2|"4 1 0 3
0 2
----
"|"4 1 0 3

Just provide the two values."
3|"4 0 2 0
1 3
----
"|"4 0 2 0

Just provide the two values."
4|"3 0 4 0
2 2
----
"|"3 0 4 0

Just provide the two values."
5|"2 2 3 4
1 2
----
"|"2 2 3 4

Just provide the two values."
6|"1 2 4 1
1 2
----
"|"1 2 4 1

Just provide the two values."
7|"3 1 0 0
1 1
----
"|"3 1 0 0

Just provide the two values."
8|"1 0 1 1
0 1
----
"|"1 0 1 1

Just provide the two values."
9|"0 4 3 1
1 2
----
"|"0 4 3 1

Just provide the two values."
10|"3 4 2 4
1 3
----
"|"3 4 2 4

Just provide the two values."
11|"3 1 3 4
0 1
----
"|"3 1 3 4

Just provide the two values."
12|"0 2 2 3
0 2
----
"|"0 2 2 3

Just provide the two values."
13|"0 0 1 1
0 1
----
"|"0 0 1 1

Just provide the two values."
14|"2 0 4 3
2 3
----
"|"2 0 4 3

Just provide the two values."
15|"1 0 3 2
0 2
----
"|"1 0 3 2

Just provide the two values."
16|"3 1 0 3
0 1
----
"|"3 1 0 3

Just provide the two values."
17|"1 3 3 1
0 0
----
"|"1 3 3 1

Just provide the two values."
18|"2 1 4 4
2 3
----
"|"2 1 4 4

Just provide the two values."
19|"0 0 2 2
0 2
----
"|"0 0 2 2

Just provide the two values."
20|"1 0 2 0
1 2
----
"|"1 0 2 0

Just provide the two values."
21|"2 0 1 4
1 3
----
"|"2 0 1 4

Just provide the two values."
22|"0 2 4 4
1 4
----
"|"0 2 4 4

Just provide the two values."
23|"4 2 4 3
1 3
----
"|"4 2 4 3

Just provide the two values."
24|"2 1 1 3
1 1
----
"|"2 1 1 3

Just provide the two values."
25|"2 1 3 1
1 1
----
"|"2 1 3 1

Just provide the two values."
26|"2 1 2 2
1 1
----
"|"2 1 2 2

Just provide the two values."
27|"0 3 0 0
1 1
----
"|"0 3 0 0

Just provide the two values."
28|"0 0 2 3
0 2
----
"|"0 0 2 3

Just provide the two values."
29|"4 4 0 2
1 4
----
"|"4 4 0 2

Just provide the two values."
30|"4 4 0 0
2 3
----
"|"4 4 0 0

Just provide the two values."
31|"2 1 2 1
1 1
----
"|"2 1 2 1

Just provide the two values."
32|"1 4 2 2
1 2
----
"|"1 4 2 2

Just provide the two values."
33|"1 1 3 3
0 0
----
"|"1 1 3 3

Just provide the two values."
34|"2 1 2 3
1 1
----
"|"2 1 2 3

Just provide the two values."
35|"4 1 0 1
0 2
----
"|"4 1 0 1

Just provide the two values."
36|"4 2 4 4
1 3
----
"|"4 2 4 4

Just provide the two values."
