|context|query
0|"0 3 0 1 1 3 2 1
1 4
----
"|"0 3 0 1 1 3 2 1

Just provide the two values."
1|"1 1 2 1 4 1 1 1
1 3
----
"|"1 1 2 1 4 1 1 1

Just provide the two values."
2|"2 2 0 1 0 0 0 2
1 6
----
"|"2 2 0 1 0 0 0 2

Just provide the two values."
3|"1 4 0 4 1 0 1 3
1 5
----
"|"1 4 0 4 1 0 1 3

Just provide the two values."
4|"3 1 0 4 2 0 1 3
3 5
----
"|"3 1 0 4 2 0 1 3

Just provide the two values."
5|"2 2 4 0 1 0 2 0
3 7
----
"|"2 2 4 0 1 0 2 0

Just provide the two values."
6|"2 2 2 1 4 3 1 3
0 4
----
"|"2 2 2 1 4 3 1 3

Just provide the two values."
7|"3 2 1 4 3 1 2 0
1 5
----
"|"3 2 1 4 3 1 2 0

Just provide the two values."
8|"0 4 4 2 1 2 4 4
4 6
----
"|"0 4 4 2 1 2 4 4

Just provide the two values."
9|"0 1 4 0 2 4 3 3
4 6
----
"|"0 1 4 0 2 4 3 3

Just provide the two values."
10|"3 1 4 3 4 0 4 1
4 4
----
"|"3 1 4 3 4 0 4 1

Just provide the two values."
11|"3 3 0 1 4 1 1 0
1 4
----
"|"3 3 0 1 4 1 1 0

Just provide the two values."
12|"0 0 3 4 4 3 3 4
1 4
----
"|"0 0 3 4 4 3 3 4

Just provide the two values."
13|"0 3 4 2 2 1 2 2
4 5
----
"|"0 3 4 2 2 1 2 2

Just provide the two values."
14|"2 0 1 0 0 4 4 2
1 8
----
"|"2 0 1 0 0 4 4 2

Just provide the two values."
15|"4 1 2 0 1 4 2 0
2 7
----
"|"4 1 2 0 1 4 2 0

Just provide the two values."
16|"1 0 0 3 0 0 4 0
3 5
----
"|"1 0 0 3 0 0 4 0

Just provide the two values."
17|"2 1 1 4 3 4 1 2
1 5
----
"|"2 1 1 4 3 4 1 2

Just provide the two values."
18|"3 3 4 4 0 4 2 4
1 4
----
"|"3 3 4 4 0 4 2 4

Just provide the two values."
19|"0 3 0 2 2 2 0 1
3 6
----
"|"0 3 0 2 2 2 0 1

Just provide the two values."
20|"3 3 3 0 4 4 2 4
0 4
----
"|"3 3 3 0 4 4 2 4

Just provide the two values."
21|"2 1 0 1 0 2 1 0
2 6
----
"|"2 1 0 1 0 2 1 0

Just provide the two values."
22|"3 3 0 2 3 1 2 3
1 4
----
"|"3 3 0 2 3 1 2 3

Just provide the two values."
23|"0 1 0 3 2 2 3 2
3 5
----
"|"0 1 0 3 2 2 3 2

Just provide the two values."
24|"0 2 3 2 4 4 3 2
2 5
----
"|"0 2 3 2 4 4 3 2

Just provide the two values."
25|"1 1 4 3 1 1 1 3
2 2
----
"|"1 1 4 3 1 1 1 3

Just provide the two values."
26|"3 4 2 2 1 4 1 3
1 5
----
"|"3 4 2 2 1 4 1 3

Just provide the two values."
27|"3 1 1 1 2 1 4 0
4 4
----
"|"3 1 1 1 2 1 4 0

Just provide the two values."
28|"4 3 3 0 3 4 3 2
0 4
----
"|"4 3 3 0 3 4 3 2

Just provide the two values."
29|"3 3 2 4 2 1 1 2
1 4
----
"|"3 3 2 4 2 1 1 2

Just provide the two values."
30|"3 4 1 1 4 1 3 0
1 4
----
"|"3 4 1 1 4 1 3 0

Just provide the two values."
31|"4 4 1 2 3 4 4 1
2 4
----
"|"4 4 1 2 3 4 4 1

Just provide the two values."
32|"4 4 3 2 0 1 2 4
1 6
----
"|"4 4 3 2 0 1 2 4

Just provide the two values."
33|"4 2 4 1 0 3 0 4
1 6
----
"|"4 2 4 1 0 3 0 4

Just provide the two values."
34|"3 2 2 2 3 0 0 1
2 5
----
"|"3 2 2 2 3 0 0 1

Just provide the two values."
35|"1 2 3 2 4 3 3 1
1 4
----
"|"1 2 3 2 4 3 3 1

Just provide the two values."
36|"4 4 0 4 4 4 3 3
0 3
----
"|"4 4 0 4 4 4 3 3

Just provide the two values."
37|"3 4 1 3 4 0 3 1
1 4
----
"|"3 4 1 3 4 0 3 1

Just provide the two values."
38|"2 2 4 2 1 4 4 2
3 5
----
"|"2 2 4 2 1 4 4 2

Just provide the two values."
39|"1 4 4 1 1 2 1 0
2 5
----
"|"1 4 4 1 1 2 1 0

Just provide the two values."
40|"4 1 3 0 4 4 4 3
2 4
----
"|"4 1 3 0 4 4 4 3

Just provide the two values."
41|"0 1 3 0 1 4 2 2
2 6
----
"|"0 1 3 0 1 4 2 2

Just provide the two values."
42|"2 2 0 2 4 2 1 0
2 6
----
"|"2 2 0 2 4 2 1 0

Just provide the two values."
43|"4 0 3 3 3 2 4 0
2 5
----
"|"4 0 3 3 3 2 4 0

Just provide the two values."
44|"0 4 3 2 3 3 3 1
2 4
----
"|"0 4 3 2 3 3 3 1

Just provide the two values."
45|"3 4 2 2 0 1 0 0
2 7
----
"|"3 4 2 2 0 1 0 0

Just provide the two values."
46|"3 2 2 1 2 2 2 4
1 4
----
"|"3 2 2 1 2 2 2 4

Just provide the two values."
47|"3 0 2 3 0 4 1 0
1 6
----
"|"3 0 2 3 0 4 1 0

Just provide the two values."
48|"4 1 2 2 4 3 1 3
2 5
----
"|"4 1 2 2 4 3 1 3

Just provide the two values."
49|"1 1 4 3 3 1 2 0
3 4
----
"|"1 1 4 3 3 1 2 0

Just provide the two values."
50|"4 3 0 4 3 0 3 0
2 5
----
"|"4 3 0 4 3 0 3 0

Just provide the two values."
51|"4 1 3 0 2 3 3 4
2 5
----
"|"4 1 3 0 2 3 3 4

Just provide the two values."
52|"2 3 2 2 0 1 3 1
1 4
----
"|"2 3 2 2 0 1 3 1

Just provide the two values."
53|"0 3 0 1 2 0 3 0
4 5
----
"|"0 3 0 1 2 0 3 0

Just provide the two values."
54|"3 4 3 0 2 0 3 3
2 4
----
"|"3 4 3 0 2 0 3 3

Just provide the two values."
55|"4 0 0 4 2 2 2 0
2 7
----
"|"4 0 0 4 2 2 2 0

Just provide the two values."
56|"3 3 2 4 1 4 3 4
0 4
----
"|"3 3 2 4 1 4 3 4

Just provide the two values."
57|"0 3 3 0 2 0 0 4
3 5
----
"|"0 3 3 0 2 0 0 4

Just provide the two values."
58|"1 3 2 0 4 1 4 1
1 5
----
"|"1 3 2 0 4 1 4 1

Just provide the two values."
59|"1 1 0 4 4 4 1 4
1 4
----
"|"1 1 0 4 4 4 1 4

Just provide the two values."
60|"2 0 1 3 4 0 4 3
2 6
----
"|"2 0 1 3 4 0 4 3

Just provide the two values."
61|"2 4 1 0 1 0 2 4
1 7
----
"|"2 4 1 0 1 0 2 4

Just provide the two values."
62|"4 4 2 3 1 4 4 4
1 4
----
"|"4 4 2 3 1 4 4 4

Just provide the two values."
63|"1 4 2 4 1 0 3 1
1 5
----
"|"1 4 2 4 1 0 3 1

Just provide the two values."
64|"1 2 2 1 2 3 2 0
2 4
----
"|"1 2 2 1 2 3 2 0

Just provide the two values."
65|"0 0 1 2 2 2 4 1
4 6
----
"|"0 0 1 2 2 2 4 1

Just provide the two values."
66|"4 0 0 4 0 0 1 4
1 6
----
"|"4 0 0 4 0 0 1 4

Just provide the two values."
67|"4 1 2 1 0 0 2 2
2 6
----
"|"4 1 2 1 0 0 2 2

Just provide the two values."
68|"3 0 3 0 2 1 0 3
1 5
----
"|"3 0 3 0 2 1 0 3

Just provide the two values."
69|"1 4 3 2 1 4 4 2
2 5
----
"|"1 4 3 2 1 4 4 2

Just provide the two values."
