|context|query
0|"4 0 1 4 0 3 0 0
1 4
----
"|"4 0 1 4 0 3 0 0

Just provide the two values."
1|"0 2 0 4 1 2 0 0
0 2
----
"|"0 2 0 4 1 2 0 0

Just provide the two values."
2|"4 2 0 2 2 2 0 2
1 2
----
"|"4 2 0 2 2 2 0 2

Just provide the two values."
3|"1 1 0 1 2 3 2 1
0 2
----
"|"1 1 0 1 2 3 2 1

Just provide the two values."
4|"0 0 2 2 2 3 2 0
0 2
----
"|"0 0 2 2 2 3 2 0

Just provide the two values."
5|"1 3 3 2 4 0 4 1
2 5
----
"|"1 3 3 2 4 0 4 1

Just provide the two values."
6|"1 4 3 0 4 1 2 4
1 5
----
"|"1 4 3 0 4 1 2 4

Just provide the two values."
7|"4 3 4 2 2 4 2 3
5 5
----
"|"4 3 4 2 2 4 2 3

Just provide the two values."
8|"2 2 4 3 2 0 2 2
1 3
----
"|"2 2 4 3 2 0 2 2

Just provide the two values."
9|"3 3 4 4 1 4 4 0
4 7
----
"|"3 3 4 4 1 4 4 0

Just provide the two values."
10|"1 2 2 4 4 1 4 3
2 4
----
"|"1 2 2 4 4 1 4 3

Just provide the two values."
11|"2 3 0 3 3 4 2 0
3 5
----
"|"2 3 0 3 3 4 2 0

Just provide the two values."
12|"4 1 0 4 3 0 1 1
2 4
----
"|"4 1 0 4 3 0 1 1

Just provide the two values."
13|"2 0 4 4 0 0 3 3
2 5
----
"|"2 0 4 4 0 0 3 3

Just provide the two values."
14|"0 3 1 3 3 1 3 1
2 4
----
"|"0 3 1 3 3 1 3 1

Just provide the two values."
15|"0 3 2 4 0 3 4 3
3 6
----
"|"0 3 2 4 0 3 4 3

Just provide the two values."
16|"2 4 3 3 1 2 2 3
1 4
----
"|"2 4 3 3 1 2 2 3

Just provide the two values."
17|"1 3 4 2 3 1 3 0
3 5
----
"|"1 3 4 2 3 1 3 0

Just provide the two values."
