|context|query
0|"2 2 3 0 2 3 0 0
1 2
----
"|"2 2 3 0 2 3 0 0

Just provide the two values."
1|"0 3 1 3 0 0 3 0
2 4
----
"|"0 3 1 3 0 0 3 0

Just provide the two values."
2|"3 2 3 4 2 4 0 2
0 4
----
"|"3 2 3 4 2 4 0 2

Just provide the two values."
3|"4 1 2 0 0 0 4 3
2 4
----
"|"4 1 2 0 0 0 4 3

Just provide the two values."
4|"1 3 2 0 0 0 3 0
1 3
----
"|"1 3 2 0 0 0 3 0

Just provide the two values."
5|"0 0 2 2 2 4 1 1
0 2
----
"|"0 0 2 2 2 4 1 1

Just provide the two values."
6|"4 2 3 4 1 0 1 3
1 5
----
"|"4 2 3 4 1 0 1 3

Just provide the two values."
7|"0 1 2 4 0 4 4 3
1 5
----
"|"0 1 2 4 0 4 4 3

Just provide the two values."
8|"3 4 4 0 3 1 4 3
2 7
----
"|"3 4 4 0 3 1 4 3

Just provide the two values."
9|"3 0 0 2 4 3 0 0
1 3
----
"|"3 0 0 2 4 3 0 0

Just provide the two values."
10|"0 1 3 4 2 4 1 4
2 5
----
"|"0 1 3 4 2 4 1 4

Just provide the two values."
11|"4 1 4 1 4 4 4 2
3 4
----
"|"4 1 4 1 4 4 4 2

Just provide the two values."
12|"4 3 1 3 3 4 4 1
3 7
----
"|"4 3 1 3 3 4 4 1

Just provide the two values."
13|"1 1 2 0 3 4 0 0
2 3
----
"|"1 1 2 0 3 4 0 0

Just provide the two values."
14|"4 0 2 1 2 2 2 4
2 3
----
"|"4 0 2 1 2 2 2 4

Just provide the two values."
15|"4 3 3 3 4 0 1 1
2 6
----
"|"4 3 3 3 4 0 1 1

Just provide the two values."
16|"3 0 0 3 3 2 0 3
2 4
----
"|"3 0 0 3 3 2 0 3

Just provide the two values."
17|"3 2 0 3 3 3 0 2
3 4
----
"|"3 2 0 3 3 3 0 2

Just provide the two values."
18|"1 0 4 4 3 3 2 2
3 5
----
"|"1 0 4 4 3 3 2 2

Just provide the two values."
19|"2 2 4 4 1 3 2 1
2 4
----
"|"2 2 4 4 1 3 2 1

Just provide the two values."
20|"4 2 0 4 2 3 0 4
3 4
----
"|"4 2 0 4 2 3 0 4

Just provide the two values."
21|"2 1 0 1 4 4 0 3
1 4
----
"|"2 1 0 1 4 4 0 3

Just provide the two values."
22|"4 4 1 1 4 2 1 2
1 4
----
"|"4 4 1 1 4 2 1 2

Just provide the two values."
23|"3 1 3 1 1 2 3 4
3 5
----
"|"3 1 3 1 1 2 3 4

Just provide the two values."
24|"3 0 1 4 3 3 1 2
2 5
----
"|"3 0 1 4 3 3 1 2

Just provide the two values."
25|"4 0 0 1 1 4 0 2
1 3
----
"|"4 0 0 1 1 4 0 2

Just provide the two values."
26|"3 4 4 0 4 2 3 0
2 5
----
"|"3 4 4 0 4 2 3 0

Just provide the two values."
27|"2 4 2 2 3 0 2 0
1 2
----
"|"2 4 2 2 3 0 2 0

Just provide the two values."
28|"0 1 0 4 1 0 2 0
1 2
----
"|"0 1 0 4 1 0 2 0

Just provide the two values."
29|"2 1 2 1 0 1 3 1
2 2
----
"|"2 1 2 1 0 1 3 1

Just provide the two values."
30|"4 2 2 1 4 3 3 4
4 6
----
"|"4 2 2 1 4 3 3 4

Just provide the two values."
31|"3 1 0 4 0 2 4 2
1 4
----
"|"3 1 0 4 0 2 4 2

Just provide the two values."
32|"3 0 2 4 3 1 2 1
1 4
----
"|"3 0 2 4 3 1 2 1

Just provide the two values."
33|"4 1 1 1 2 2 3 4
4 4
----
"|"4 1 1 1 2 2 3 4

Just provide the two values."
34|"4 4 1 0 2 1 2 1
1 3
----
"|"4 4 1 0 2 1 2 1

Just provide the two values."
35|"2 0 2 4 2 1 4 0
0 3
----
"|"2 0 2 4 2 1 4 0

Just provide the two values."
36|"2 3 2 2 3 1 4 1
1 4
----
"|"2 3 2 2 3 1 4 1

Just provide the two values."
37|"3 0 2 4 0 3 4 4
2 5
----
"|"3 0 2 4 0 3 4 4

Just provide the two values."
38|"1 1 3 1 0 2 2 2
1 2
----
"|"1 1 3 1 0 2 2 2

Just provide the two values."
39|"0 1 2 3 1 0 0 4
3 3
----
"|"0 1 2 3 1 0 0 4

Just provide the two values."
40|"3 4 1 3 4 3 2 0
2 6
----
"|"3 4 1 3 4 3 2 0

Just provide the two values."
41|"1 4 1 2 2 3 3 1
2 4
----
"|"1 4 1 2 2 3 3 1

Just provide the two values."
42|"0 1 3 1 2 1 3 2
2 3
----
"|"0 1 3 1 2 1 3 2

Just provide the two values."
43|"4 0 1 0 0 1 1 1
1 2
----
"|"4 0 1 0 0 1 1 1

Just provide the two values."
