|context|query
0|"1 2 3 2 1 2 3 4
2 4
----
"|"1 2 3 2 1 2 3 4

Just provide the two values."
1|"0 2 2 3 2 2 2 3
1 2
----
"|"0 2 2 3 2 2 2 3

Just provide the two values."
2|"3 0 1 4 3 3 2 1
2 5
----
"|"3 0 1 4 3 3 2 1

Just provide the two values."
3|"0 0 1 4 0 3 2 2
2 6
----
"|"0 0 1 4 0 3 2 2

Just provide the two values."
4|"4 4 1 0 3 4 2 0
4 6
----
"|"4 4 1 0 3 4 2 0

Just provide the two values."
5|"0 2 4 1 4 0 4 2
1 6
----
"|"0 2 4 1 4 0 4 2

Just provide the two values."
6|"2 4 0 0 2 2 1 3
1 5
----
"|"2 4 0 0 2 2 1 3

Just provide the two values."
7|"4 1 4 1 1 2 3 3
2 5
----
"|"4 1 4 1 1 2 3 3

Just provide the two values."
8|"1 3 1 4 0 0 3 1
1 5
----
"|"1 3 1 4 0 0 3 1

Just provide the two values."
9|"3 4 3 3 4 2 1 1
0 5
----
"|"3 4 3 3 4 2 1 1

Just provide the two values."
10|"2 1 3 1 3 1 1 4
0 4
----
"|"2 1 3 1 3 1 1 4

Just provide the two values."
11|"3 4 2 2 1 1 4 4
1 5
----
"|"3 4 2 2 1 1 4 4

Just provide the two values."
12|"0 3 1 2 2 1 4 1
0 5
----
"|"0 3 1 2 2 1 4 1

Just provide the two values."
13|"4 3 1 1 2 4 0 1
1 6
----
"|"4 3 1 1 2 4 0 1

Just provide the two values."
14|"0 2 3 2 3 1 3 3
0 3
----
"|"0 2 3 2 3 1 3 3

Just provide the two values."
15|"2 4 4 2 3 3 0 1
1 5
----
"|"2 4 4 2 3 3 0 1

Just provide the two values."
16|"3 3 0 0 3 4 0 1
2 5
----
"|"3 3 0 0 3 4 0 1

Just provide the two values."
17|"1 3 3 4 3 0 0 1
1 5
----
"|"1 3 3 4 3 0 0 1

Just provide the two values."
18|"1 4 3 0 1 2 2 2
4 5
----
"|"1 4 3 0 1 2 2 2

Just provide the two values."
19|"3 0 0 3 1 2 1 3
2 5
----
"|"3 0 0 3 1 2 1 3

Just provide the two values."
20|"3 0 1 4 4 1 4 1
1 5
----
"|"3 0 1 4 4 1 4 1

Just provide the two values."
21|"4 0 0 4 3 1 2 3
2 6
----
"|"4 0 0 4 3 1 2 3

Just provide the two values."
22|"4 2 4 0 3 1 3 1
2 6
----
"|"4 2 4 0 3 1 3 1

Just provide the two values."
23|"1 4 1 4 3 3 0 0
2 6
----
"|"1 4 1 4 3 3 0 0

Just provide the two values."
24|"4 3 0 4 2 1 2 2
1 5
----
"|"4 3 0 4 2 1 2 2

Just provide the two values."
25|"3 3 2 3 2 0 2 1
1 3
----
"|"3 3 2 3 2 0 2 1

Just provide the two values."
26|"0 3 2 0 0 0 2 1
2 5
----
"|"0 3 2 0 0 0 2 1

Just provide the two values."
27|"2 0 2 1 2 2 0 0
2 5
----
"|"2 0 2 1 2 2 0 0

Just provide the two values."
28|"1 2 3 0 4 3 1 2
2 5
----
"|"1 2 3 0 4 3 1 2

Just provide the two values."
29|"2 1 3 4 4 3 3 2
0 4
----
"|"2 1 3 4 4 3 3 2

Just provide the two values."
