|context|query
0|"0 3 1 0 3 4 1 2
2 5
----
"|"0 3 1 0 3 4 1 2

Just provide the two values."
1|"4 0 1 3 3 4 3 1
3 6
----
"|"4 0 1 3 3 4 3 1

Just provide the two values."
2|"4 2 4 4 2 4 2 0
2 4
----
"|"4 2 4 4 2 4 2 0

Just provide the two values."
3|"2 0 1 0 3 4 3 4
2 5
----
"|"2 0 1 0 3 4 3 4

Just provide the two values."
4|"0 3 4 1 4 2 3 4
0 6
----
"|"0 3 4 1 4 2 3 4

Just provide the two values."
5|"3 1 2 4 4 4 4 3
2 5
----
"|"3 1 2 4 4 4 4 3

Just provide the two values."
6|"0 3 1 0 1 4 0 3
3 5
----
"|"0 3 1 0 1 4 0 3

Just provide the two values."
7|"1 0 1 3 0 3 1 4
3 6
----
"|"1 0 1 3 0 3 1 4

Just provide the two values."
8|"0 2 4 2 1 4 1 0
3 5
----
"|"0 2 4 2 1 4 1 0

Just provide the two values."
9|"2 3 4 2 4 3 4 0
2 5
----
"|"2 3 4 2 4 3 4 0

Just provide the two values."
10|"4 0 1 1 2 2 1 0
2 5
----
"|"4 0 1 1 2 2 1 0

Just provide the two values."
11|"2 4 0 4 0 4 3 4
2 5
----
"|"2 4 0 4 0 4 3 4

Just provide the two values."
12|"4 4 3 3 0 2 1 0
3 5
----
"|"4 4 3 3 0 2 1 0

Just provide the two values."
13|"1 1 3 0 1 3 2 0
3 5
----
"|"1 1 3 0 1 3 2 0

Just provide the two values."
14|"1 1 3 2 1 4 4 2
4 6
----
"|"1 1 3 2 1 4 4 2

Just provide the two values."
15|"0 3 0 2 1 0 0 3
1 3
----
"|"0 3 0 2 1 0 0 3

Just provide the two values."
16|"1 4 4 2 0 1 4 2
3 6
----
"|"1 4 4 2 0 1 4 2

Just provide the two values."
17|"2 0 4 2 4 4 3 0
2 5
----
"|"2 0 4 2 4 4 3 0

Just provide the two values."
18|"3 3 2 0 3 0 0 4
0 3
----
"|"3 3 2 0 3 0 0 4

Just provide the two values."
19|"3 0 4 4 3 2 4 0
2 5
----
"|"3 0 4 4 3 2 4 0

Just provide the two values."
20|"0 4 3 2 0 2 3 0
2 3
----
"|"0 4 3 2 0 2 3 0

Just provide the two values."
21|"1 3 3 4 3 0 2 4
1 5
----
"|"1 3 3 4 3 0 2 4

Just provide the two values."
22|"2 2 2 0 3 3 0 1
0 3
----
"|"2 2 2 0 3 3 0 1

Just provide the two values."
23|"1 2 1 3 2 1 1 1
3 4
----
"|"1 2 1 3 2 1 1 1

Just provide the two values."
24|"4 2 3 1 3 4 2 3
1 4
----
"|"4 2 3 1 3 4 2 3

Just provide the two values."
25|"0 2 1 3 3 0 2 2
2 3
----
"|"0 2 1 3 3 0 2 2

Just provide the two values."
26|"0 3 2 2 1 0 3 0
2 3
----
"|"0 3 2 2 1 0 3 0

Just provide the two values."
27|"2 3 1 2 1 3 4 0
4 5
----
"|"2 3 1 2 1 3 4 0

Just provide the two values."
28|"2 1 2 0 3 2 0 3
0 3
----
"|"2 1 2 0 3 2 0 3

Just provide the two values."
29|"0 0 1 0 3 0 0 1
1 4
----
"|"0 0 1 0 3 0 0 1

Just provide the two values."
30|"4 2 4 0 2 2 3 3
0 4
----
"|"4 2 4 0 2 2 3 3

Just provide the two values."
31|"2 2 1 1 2 1 2 1
1 3
----
"|"2 2 1 1 2 1 2 1

Just provide the two values."
32|"4 4 3 2 2 1 0 4
1 6
----
"|"4 4 3 2 2 1 0 4

Just provide the two values."
33|"2 2 1 4 3 1 3 3
1 4
----
"|"2 2 1 4 3 1 3 3

Just provide the two values."
34|"0 3 2 2 4 2 1 4
0 5
----
"|"0 3 2 2 4 2 1 4

Just provide the two values."
35|"4 2 4 3 1 3 1 4
2 6
----
"|"4 2 4 3 1 3 1 4

Just provide the two values."
36|"1 0 1 3 3 4 4 3
5 6
----
"|"1 0 1 3 3 4 4 3

Just provide the two values."
37|"3 4 2 0 4 1 3 0
2 5
----
"|"3 4 2 0 4 1 3 0

Just provide the two values."
