|context|query
0|"2 1 4 3
0 2
----
"|"2 1 4 3

Just provide the two values."
1|"4 1 4 1
0 2
----
"|"4 1 4 1

Just provide the two values."
2|"4 4 2 3
1 3
----
"|"4 4 2 3

Just provide the two values."
3|"3 1 4 3
1 3
----
"|"3 1 4 3

Just provide the two values."
4|"1 1 1 3
0 1
----
"|"1 1 1 3

Just provide the two values."
5|"0 1 2 3
0 1
----
"|"0 1 2 3

Just provide the two values."
6|"2 1 3 1
1 1
----
"|"2 1 3 1

Just provide the two values."
7|"0 3 3 2
1 2
----
"|"0 3 3 2

Just provide the two values."
8|"1 0 4 3
0 2
----
"|"1 0 4 3

Just provide the two values."
9|"3 2 0 0
1 1
----
"|"3 2 0 0

Just provide the two values."
10|"0 3 0 1
0 1
----
"|"0 3 0 1

Just provide the two values."
11|"1 1 1 4
1 1
----
"|"1 1 1 4

Just provide the two values."
12|"4 1 0 3
0 2
----
"|"4 1 0 3

Just provide the two values."
13|"4 0 4 3
0 3
----
"|"4 0 4 3

Just provide the two values."
14|"0 4 3 4
3 3
----
"|"0 4 3 4

Just provide the two values."
15|"3 2 4 0
1 2
----
"|"3 2 4 0

Just provide the two values."
16|"0 3 0 3
0 2
----
"|"0 3 0 3

Just provide the two values."
17|"1 3 2 4
1 2
----
"|"1 3 2 4

Just provide the two values."
18|"0 1 4 2
0 1
----
"|"0 1 4 2

Just provide the two values."
19|"2 4 3 4
3 3
----
"|"2 4 3 4

Just provide the two values."
20|"2 3 3 3
1 2
----
"|"2 3 3 3

Just provide the two values."
21|"4 3 4 4
1 3
----
"|"4 3 4 4

Just provide the two values."
22|"0 3 3 0
1 2
----
"|"0 3 3 0

Just provide the two values."
23|"1 1 3 1
1 1
----
"|"1 1 3 1

Just provide the two values."
24|"3 4 1 0
2 2
----
"|"3 4 1 0

Just provide the two values."
25|"4 2 4 0
0 2
----
"|"4 2 4 0

Just provide the two values."
26|"3 3 3 4
3 3
----
"|"3 3 3 4

Just provide the two values."
27|"2 3 3 0
1 2
----
"|"2 3 3 0

Just provide the two values."
28|"3 2 0 4
2 2
----
"|"3 2 0 4

Just provide the two values."
29|"4 2 1 3
0 2
----
"|"4 2 1 3

Just provide the two values."
30|"3 1 3 2
2 2
----
"|"3 1 3 2

Just provide the two values."
31|"0 4 3 0
2 2
----
"|"0 4 3 0

Just provide the two values."
32|"0 3 3 4
2 3
----
"|"0 3 3 4

Just provide the two values."
33|"1 2 3 0
1 1
----
"|"1 2 3 0

Just provide the two values."
34|"4 2 1 1
0 1
----
"|"4 2 1 1

Just provide the two values."
35|"0 4 4 3
1 3
----
"|"0 4 4 3

Just provide the two values."
36|"4 0 2 0
0 1
----
"|"4 0 2 0

Just provide the two values."
37|"4 1 0 1
0 1
----
"|"4 1 0 1

Just provide the two values."
38|"0 3 4 2
0 2
----
"|"0 3 4 2

Just provide the two values."
39|"0 3 3 2
1 2
----
"|"0 3 3 2

Just provide the two values."
40|"0 3 2 4
1 2
----
"|"0 3 2 4

Just provide the two values."
41|"0 1 1 4
1 1
----
"|"0 1 1 4

Just provide the two values."
42|"4 2 0 3
0 2
----
"|"4 2 0 3

Just provide the two values."
43|"2 3 1 3
0 2
----
"|"2 3 1 3

Just provide the two values."
44|"3 4 4 3
2 4
----
"|"3 4 4 3

Just provide the two values."
45|"0 3 1 3
0 2
----
"|"0 3 1 3

Just provide the two values."
46|"1 0 3 2
1 1
----
"|"1 0 3 2

Just provide the two values."
47|"4 2 0 0
0 1
----
"|"4 2 0 0

Just provide the two values."
48|"2 2 1 2
0 0
----
"|"2 2 1 2

Just provide the two values."
49|"3 2 0 1
1 1
----
"|"3 2 0 1

Just provide the two values."
50|"2 2 1 2
0 0
----
"|"2 2 1 2

Just provide the two values."
51|"3 2 4 3
1 3
----
"|"3 2 4 3

Just provide the two values."
52|"2 1 1 2
0 0
----
"|"2 1 1 2

Just provide the two values."
53|"4 4 0 1
1 2
----
"|"4 4 0 1

Just provide the two values."
54|"2 1 0 2
0 0
----
"|"2 1 0 2

Just provide the two values."
55|"3 4 0 1
2 2
----
"|"3 4 0 1

Just provide the two values."
56|"1 1 4 0
0 1
----
"|"1 1 4 0

Just provide the two values."
57|"4 3 2 0
0 2
----
"|"4 3 2 0

Just provide the two values."
58|"2 3 3 4
2 3
----
"|"2 3 3 4

Just provide the two values."
59|"0 1 0 1
0 0
----
"|"0 1 0 1

Just provide the two values."
60|"1 1 1 1
0 0
----
"|"1 1 1 1

Just provide the two values."
61|"4 4 4 1
1 2
----
"|"4 4 4 1

Just provide the two values."
62|"3 0 4 3
1 3
----
"|"3 0 4 3

Just provide the two values."
