|context|query
0|"0 1 2 2
2 2
----
"|"0 1 2 2

Just provide the two values."
1|"1 2 0 0
0 2
----
"|"1 2 0 0

Just provide the two values."
2|"0 0 3 1
3 3
----
"|"0 0 3 1

Just provide the two values."
3|"4 2 3 3
1 1
----
"|"4 2 3 3

Just provide the two values."
4|"1 3 1 3
0 3
----
"|"1 3 1 3

Just provide the two values."
5|"4 4 2 3
0 1
----
"|"4 4 2 3

Just provide the two values."
6|"3 4 4 0
0 2
----
"|"3 4 4 0

Just provide the two values."
7|"3 4 1 3
0 2
----
"|"3 4 1 3

Just provide the two values."
8|"1 0 4 0
0 2
----
"|"1 0 4 0

Just provide the two values."
9|"1 4 2 0
0 2
----
"|"1 4 2 0

Just provide the two values."
10|"1 4 1 1
1 2
----
"|"1 4 1 1

Just provide the two values."
11|"2 0 2 2
0 1
----
"|"2 0 2 2

Just provide the two values."
12|"4 0 1 2
0 2
----
"|"4 0 1 2

Just provide the two values."
13|"1 3 4 4
0 2
----
"|"1 3 4 4

Just provide the two values."
14|"2 3 3 0
1 2
----
"|"2 3 3 0

Just provide the two values."
15|"1 4 1 3
0 3
----
"|"1 4 1 3

Just provide the two values."
16|"0 2 1 1
2 3
----
"|"0 2 1 1

Just provide the two values."
17|"3 3 4 0
0 2
----
"|"3 3 4 0

Just provide the two values."
18|"4 0 0 3
0 2
----
"|"4 0 0 3

Just provide the two values."
19|"1 0 4 3
0 3
----
"|"1 0 4 3

Just provide the two values."
20|"4 0 1 1
1 3
----
"|"4 0 1 1

Just provide the two values."
21|"3 2 4 0
0 2
----
"|"3 2 4 0

Just provide the two values."
22|"0 2 3 2
2 2
----
"|"0 2 3 2

Just provide the two values."
23|"3 4 1 1
1 3
----
"|"3 4 1 1

Just provide the two values."
24|"1 1 1 4
1 2
----
"|"1 1 1 4

Just provide the two values."
25|"4 2 3 3
1 1
----
"|"4 2 3 3

Just provide the two values."
26|"1 4 0 1
1 3
----
"|"1 4 0 1

Just provide the two values."
27|"4 1 2 3
1 2
----
"|"4 1 2 3

Just provide the two values."
28|"4 2 1 3
0 2
----
"|"4 2 1 3

Just provide the two values."
29|"2 2 1 3
0 2
----
"|"2 2 1 3

Just provide the two values."
30|"0 1 0 0
2 2
----
"|"0 1 0 0

Just provide the two values."
31|"0 2 1 2
1 2
----
"|"0 2 1 2

Just provide the two values."
32|"0 1 4 3
2 3
----
"|"0 1 4 3

Just provide the two values."
