|context|query
0|"1 2 3 3
1 2
----
"|"1 2 3 3

Just provide the two values."
1|"0 2 1 0
1 2
----
"|"0 2 1 0

Just provide the two values."
2|"4 1 3 1
1 2
----
"|"4 1 3 1

Just provide the two values."
3|"4 3 2 3
0 3
----
"|"4 3 2 3

Just provide the two values."
4|"2 4 2 4
1 2
----
"|"2 4 2 4

Just provide the two values."
5|"1 1 0 1
0 1
----
"|"1 1 0 1

Just provide the two values."
6|"2 4 4 2
2 2
----
"|"2 4 4 2

Just provide the two values."
7|"0 1 1 3
1 2
----
"|"0 1 1 3

Just provide the two values."
8|"0 1 3 1
2 2
----
"|"0 1 3 1

Just provide the two values."
9|"0 1 3 2
3 3
----
"|"0 1 3 2

Just provide the two values."
10|"2 1 2 3
0 2
----
"|"2 1 2 3

Just provide the two values."
11|"4 1 3 1
1 2
----
"|"4 1 3 1

Just provide the two values."
12|"0 0 2 4
1 3
----
"|"0 0 2 4

Just provide the two values."
13|"0 1 4 4
1 2
----
"|"0 1 4 4

Just provide the two values."
14|"1 3 3 0
1 2
----
"|"1 3 3 0

Just provide the two values."
15|"4 4 3 2
3 3
----
"|"4 4 3 2

Just provide the two values."
16|"4 4 0 4
1 2
----
"|"4 4 0 4

Just provide the two values."
17|"0 4 1 1
2 2
----
"|"0 4 1 1

Just provide the two values."
18|"0 3 2 4
1 4
----
"|"0 3 2 4

Just provide the two values."
19|"1 0 0 4
0 2
----
"|"1 0 0 4

Just provide the two values."
20|"1 2 3 2
2 2
----
"|"1 2 3 2

Just provide the two values."
21|"4 3 4 4
0 2
----
"|"4 3 4 4

Just provide the two values."
22|"3 2 3 2
2 2
----
"|"3 2 3 2

Just provide the two values."
23|"0 2 3 3
2 3
----
"|"0 2 3 3

Just provide the two values."
24|"3 0 0 3
0 2
----
"|"3 0 0 3

Just provide the two values."
25|"2 4 4 0
1 3
----
"|"2 4 4 0

Just provide the two values."
26|"4 0 2 3
0 4
----
"|"4 0 2 3

Just provide the two values."
27|"0 1 4 4
1 2
----
"|"0 1 4 4

Just provide the two values."
28|"0 1 4 2
2 3
----
"|"0 1 4 2

Just provide the two values."
29|"2 2 0 3
0 3
----
"|"2 2 0 3

Just provide the two values."
30|"0 0 3 0
2 2
----
"|"0 0 3 0

Just provide the two values."
31|"1 2 0 4
0 3
----
"|"1 2 0 4

Just provide the two values."
32|"2 1 3 3
1 2
----
"|"2 1 3 3

Just provide the two values."
33|"2 4 1 2
2 2
----
"|"2 4 1 2

Just provide the two values."
34|"1 0 1 1
0 1
----
"|"1 0 1 1

Just provide the two values."
35|"4 3 3 4
1 2
----
"|"4 3 3 4

Just provide the two values."
36|"2 4 4 2
2 2
----
"|"2 4 4 2

Just provide the two values."
37|"1 0 1 1
0 1
----
"|"1 0 1 1

Just provide the two values."
38|"0 0 3 4
2 3
----
"|"0 0 3 4

Just provide the two values."
39|"0 2 4 0
1 3
----
"|"0 2 4 0

Just provide the two values."
40|"4 0 2 3
0 4
----
"|"4 0 2 3

Just provide the two values."
41|"1 4 3 4
2 2
----
"|"1 4 3 4

Just provide the two values."
42|"4 3 4 1
0 2
----
"|"4 3 4 1

Just provide the two values."
43|"1 3 4 2
1 3
----
"|"1 3 4 2

Just provide the two values."
44|"2 1 0 1
0 2
----
"|"2 1 0 1

Just provide the two values."
45|"2 0 3 1
1 3
----
"|"2 0 3 1

Just provide the two values."
46|"4 2 2 1
0 2
----
"|"4 2 2 1

Just provide the two values."
47|"2 3 3 1
1 2
----
"|"2 3 3 1

Just provide the two values."
48|"1 2 3 0
1 3
----
"|"1 2 3 0

Just provide the two values."
49|"4 2 3 4
1 3
----
"|"4 2 3 4

Just provide the two values."
50|"3 2 1 3
0 2
----
"|"3 2 1 3

Just provide the two values."
51|"3 3 2 3
0 2
----
"|"3 3 2 3

Just provide the two values."
52|"3 4 1 4
1 2
----
"|"3 4 1 4

Just provide the two values."
53|"1 4 0 1
1 2
----
"|"1 4 0 1

Just provide the two values."
54|"3 1 1 4
0 2
----
"|"3 1 1 4

Just provide the two values."
55|"3 2 3 0
1 3
----
"|"3 2 3 0

Just provide the two values."
56|"1 1 3 3
1 1
----
"|"1 1 3 3

Just provide the two values."
57|"4 1 4 2
1 2
----
"|"4 1 4 2

Just provide the two values."
58|"1 2 0 2
1 2
----
"|"1 2 0 2

Just provide the two values."
59|"2 4 4 4
1 2
----
"|"2 4 4 4

Just provide the two values."
60|"0 3 1 3
1 2
----
"|"0 3 1 3

Just provide the two values."
61|"1 0 1 2
1 2
----
"|"1 0 1 2

Just provide the two values."
62|"0 1 2 1
1 2
----
"|"0 1 2 1

Just provide the two values."
63|"3 3 4 0
0 3
----
"|"3 3 4 0

Just provide the two values."
64|"0 3 1 1
1 2
----
"|"0 3 1 1

Just provide the two values."
65|"0 2 3 1
2 3
----
"|"0 2 3 1

Just provide the two values."
66|"0 4 0 2
3 3
----
"|"0 4 0 2

Just provide the two values."
67|"3 2 1 1
0 2
----
"|"3 2 1 1

Just provide the two values."
68|"3 3 4 0
0 3
----
"|"3 3 4 0

Just provide the two values."
69|"2 1 4 4
0 2
----
"|"2 1 4 4

Just provide the two values."
70|"1 2 3 1
1 2
----
"|"1 2 3 1

Just provide the two values."
71|"0 4 2 4
2 3
----
"|"0 4 2 4

Just provide the two values."
72|"0 1 1 1
1 1
----
"|"0 1 1 1

Just provide the two values."
