|context|query
0|"0 3 3 1 1 3 4 4
0 7
----
"|"0 3 3 1 1 3 4 4

Just provide the two values."
1|"1 0 0 0 4 3 0 2
1 4
----
"|"1 0 0 0 4 3 0 2

Just provide the two values."
2|"0 4 0 3 0 3 0 4
1 5
----
"|"0 4 0 3 0 3 0 4

Just provide the two values."
3|"1 3 1 3 1 1 2 1
0 3
----
"|"1 3 1 3 1 1 2 1

Just provide the two values."
4|"4 4 1 3 0 3 3 2
1 7
----
"|"4 4 1 3 0 3 3 2

Just provide the two values."
5|"3 4 2 1 4 1 1 1
3 4
----
"|"3 4 2 1 4 1 1 1

Just provide the two values."
6|"2 4 3 3 1 4 4 4
2 6
----
"|"2 4 3 3 1 4 4 4

Just provide the two values."
7|"0 1 1 4 1 4 4 0
1 5
----
"|"0 1 1 4 1 4 4 0

Just provide the two values."
8|"2 4 1 0 1 1 1 4
3 4
----
"|"2 4 1 0 1 1 1 4

Just provide the two values."
9|"2 3 1 4 4 3 1 3
2 6
----
"|"2 3 1 4 4 3 1 3

Just provide the two values."
10|"2 0 4 2 0 0 1 4
2 4
----
"|"2 0 4 2 0 0 1 4

Just provide the two values."
11|"4 1 1 1 4 4 1 1
2 4
----
"|"4 1 1 1 4 4 1 1

Just provide the two values."
12|"0 0 3 4 3 2 0 2
1 4
----
"|"0 0 3 4 3 2 0 2

Just provide the two values."
13|"1 0 2 0 4 2 0 1
1 3
----
"|"1 0 2 0 4 2 0 1

Just provide the two values."
14|"2 3 0 3 1 3 1 0
1 5
----
"|"2 3 0 3 1 3 1 0

Just provide the two values."
15|"0 1 3 4 2 0 0 3
1 5
----
"|"0 1 3 4 2 0 0 3

Just provide the two values."
16|"1 0 3 0 0 1 0 4
1 4
----
"|"1 0 3 0 0 1 0 4

Just provide the two values."
17|"3 2 4 4 0 3 4 0
2 6
----
"|"3 2 4 4 0 3 4 0

Just provide the two values."
18|"0 4 4 2 1 2 0 2
2 4
----
"|"0 4 4 2 1 2 0 2

Just provide the two values."
19|"4 3 4 3 1 2 0 0
1 6
----
"|"4 3 4 3 1 2 0 0

Just provide the two values."
20|"1 2 3 1 0 4 1 4
2 5
----
"|"1 2 3 1 0 4 1 4

Just provide the two values."
21|"2 2 3 0 0 4 4 2
2 4
----
"|"2 2 3 0 0 4 4 2

Just provide the two values."
22|"3 2 4 4 3 3 1 0
4 7
----
"|"3 2 4 4 3 3 1 0

Just provide the two values."
23|"3 1 2 4 3 0 4 4
2 7
----
"|"3 1 2 4 3 0 4 4

Just provide the two values."
24|"2 4 4 1 4 3 4 2
2 5
----
"|"2 4 4 1 4 3 4 2

Just provide the two values."
25|"1 2 1 4 0 0 1 1
1 3
----
"|"1 2 1 4 0 0 1 1

Just provide the two values."
26|"1 1 2 2 0 3 0 1
0 3
----
"|"1 1 2 2 0 3 0 1

Just provide the two values."
27|"4 4 2 2 0 0 2 0
1 3
----
"|"4 4 2 2 0 0 2 0

Just provide the two values."
28|"2 3 3 2 0 0 3 3
1 4
----
"|"2 3 3 2 0 0 3 3

Just provide the two values."
29|"0 1 1 0 4 1 1 4
2 4
----
"|"0 1 1 0 4 1 1 4

Just provide the two values."
